service,month,year,calls_handled,average_wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Adoption Information Disclosure Act queues  (English + French),Mar,2016,242,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Apr,2016,275,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),May,2016,222,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jun,2016,233,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jul,2016,217,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Aug,2016,235,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Sep,2016,209,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Oct,2016,201,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Nov,2016,202,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Dec,2016,149,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jan,2017,240,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Feb,2017,260,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Mar,2017,337,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Apr,2017,238,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),May,2017,279,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jun,2017,265,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jul,2017,205,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Aug,2017,296,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Sep,2017,273,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Oct,2017,272,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Nov,2017,266,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Dec,2017,174,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jan,2018,270,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Feb,2018,229,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Mar,2018,255,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Apr,2018,251,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),May,2018,254,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jun,2018,233,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jul,2018,259,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Aug,2018,269,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Sep,2018,217,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Oct,2018,216,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Nov,2018,203,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Dec,2018,156,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jan,2019,206,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Feb,2019,247,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Mar,2019,293,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Apr,2019,257,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),May,2019,266,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jun,2019,217,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jul,2019,200,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Aug,2019,206,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Sep,2019,192,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Jan,2016,"4,626",0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Feb,2016,"4,541",0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Mar,2016,"4,982",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Apr,2016,"4,837",0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),May,2016,"4,900",0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Jun,2016,"5,271",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Jul,2016,"4,080",0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Aug,2016,"4,616",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Sep,2016,"4,531",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Oct,2016,"4,496",0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Nov,2016,"4,772",0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Dec,2016,"3,993",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Jan,2017,"4,872",0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Feb,2017,"4,499",0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
